Title of debate,Date,Members,Classification,Year
Ambient Air Quality Monitoring Stations,7/25/2017,Rahul Kaswan,,2017
Electro-Magnetic Radiation,7/25/2017,Rajesh Verma,,2017
Losses due to Forest Fire,7/25/2017,Bishnu Pada Ray,,2017
Solar Home Lighting System,7/25/2017,Anju Bala,,2017
Guidelines for Environmental Clearance,7/25/2017,Anju Bala,,2017
Wild Animal Encroachment,7/25/2017,Radheshyam Biswas,,2017
Reclamation of Land,7/25/2017,Elumalai Vallaigounder,,2017
Management of Wetlands,7/25/2017,Shobha KarandlajePrathap Simha,,2017
Directives of NGT,7/25/2017,Kunwar Sarvesh Kumar,,2017
Population of Wild Animals,7/25/2017,Sakshi Swami Maharaj,,2017
Campaign on Forest Fire,7/25/2017,Naranbhai Kachhadia,,2017
Trade of Domestic Animals,7/25/2017,Sadashiv Kisan Lokhande,,2017
Consumption of Plastics,7/25/2017,Maheish GirriMohanbhai Kalyanjibhai Kundariya,,2017
Grant to NGOs,7/25/2017,A. Anwhar Raajhaa,,2017
Protection from Wild Animals,7/25/2017,Sona Ram,,2017
Withdrawl of US from Paris Agreement,7/25/2017,Jayasingh Thiyagaraj Natterjee,,2017
Air Quality Monitoring,7/25/2017,Shashi Tharoor,,2017
Paris Climate Agreement,7/25/2017,Poonamben Hematbhai Maadam,,2017
Observations of Supreme Court on Air Pollution,7/25/2017,Nanabhau Falgunrao Patole,,2017
Commitments under Paris Climate Agreement,7/25/2017,C. MahendranAnurag Singh ThakurDinesh Trivedi,,2017
Vision Document for Zoos,7/25/2017,Raju Shetti alias Devappa Anna Shetti,,2017
Dumping of Pollutants into Rivers,7/25/2017,Srinivas Kesineni,,2017
Rising of Sea Level,7/25/2017,Parasuraman K.,,2017
Elephant Zone,7/25/2017,Laxman Giluwa,,2017
Zoos in Uttar Pradesh,7/25/2017,Hari Narayan Rajbhar,,2017
Cattle Trade Rule,7/25/2017,Vincent H. Pala,,2017
Development of Ayad River,7/25/2017,Arjunlal Meena,,2017
Implementation of Forest Policy,7/25/2017,Lallu Singh,,2017
Desertification,7/25/2017,Meenakshi Lekhi,,2017
Import of Hazardous Waste,7/25/2017,Sanjay Shamrao DhotreRahul Ramesh ShewaleSatyapal Singh (Sambhal),,2017
Monitoring of Air Pollution,7/25/2017,Ramesh Pokhriyal Nishank,,2017
Plastic Waste,7/25/2017,Natubhai Gomanbhai Patel,,2017
Elephant Census,7/25/2017,K. Gopal,,2017
Illegal Mining,7/25/2017,Manshankar NinamaBharat Singh,,2017
Emission Trading Scheme,7/25/2017,Nagendra Kumar,,2017
Policy on Coastal Management,7/18/2017,Sanjay Shamrao DhotreSatyapal Singh (Sambhal),,2017
Cutting of Trees,7/18/2017,Kirti (JHA) Azad,,2017
Forest Areas,7/18/2017,Ramesh Pokhriyal Nishank,,2017
Plantation Drive,7/18/2017,Manoj Kumar Tiwari,,2017
Eco-Sensitive Zone,7/18/2017,Hari Narayan Rajbhar,,2017
Damage to Ozone Layer,7/18/2017,Gopal chinayya Shetty,,2017
Area of Forest Land,7/18/2017,Kirit Somaiya,,2017
Checking of Pollution,7/18/2017,Harishchandra Deoram Chavan,,2017
River Pollution,7/18/2017,B. Sreeramulu,,2017
National Forest Policy,7/18/2017,Hema Malini,,2017
Assessment of Real Estate Projects,7/18/2017,K. Ashok KumarRam CharitraElumalai Vallaigounder,,2017
Ground Water Pollution,7/18/2017,Tariq Anwar,,2017
Notification on Western Ghats,7/18/2017,P.K. BijuShobha KarandlajeFaizal P.P. MohammedPrathap Simha,,2017
Death of Wild Animals,7/18/2017,Ranjanben Bhatt,,2017
Field Trials of GM Crops,7/18/2017,Sankar Prasad Datta,,2017
Death of Marine Animals,7/18/2017,Geetha Kothapalli,,2017
Environmental Clearance,7/18/2017,InnocentChandra Prakash Joshi,,2017
Protection of Backwaters/Rivers,7/18/2017,Suresh Kodikunnil,,2017
Wild Animal Attacks,7/18/2017,Krupal Balaji Tumane,,2017
Environmental Pollution,7/18/2017,Nalin Kumar Kateel,,2017
New Rules on Sale of Livestock,7/18/2017,Jayakumar JayavardhanDhananjay Bhimrao MahadikN. K. PremachandranRajeev Shankarrao SatavSupriya Sule,,2017
Shrinking of Lakes/Glaciers,7/18/2017,Jagdambika Pal,,2017
Impact of Climate Change,7/18/2017,P. Karunakaran,,2017
Grant for Residual Treatment Plants,7/18/2017,Arjunlal Meena,,2017
Closing of Industries near Lakes,7/18/2017,Hukum Singh,,2017
Sasthamcotta Lake,7/18/2017,Suresh Kodikunnil,,2017
Wild Life Sanctuaries,7/18/2017,Sakshi Swami Maharaj,,2017
Web Portal,7/18/2017,Naranbhai Kachhadia,,2017
Environmental Pollution,7/18/2017,Radheshyam Biswas,,2017
Conservation and Plantation Projects,7/18/2017,Ramcharan Bohra,,2017
Culling of Wild Boars,7/18/2017,Balasubramaniam Senguttuvan,,2017
Tree Plantation Scheme,7/18/2017,Rodmal Nagar,,2017
Impact of Pollution on Taj Mahal,7/18/2017,Rajan Baburao Vichare,,2017
Tiger Habitats,7/18/2017,Balka Suman,,2017
Conservation of Lakes,7/18/2017,Arjunlal Meena,,2017
"National Zoological Park, Delhi",7/18/2017,Raksha Nikhil Khadse,,2017
Forest Dwellers,04/11/17,Chandra Prakash JoshiChandu Lal Sahu,,2017
Violation of Environmental Norms,04/11/17,Anandrao Vithoba AdsulChandu Barne ShrirangDharmendra Yadav,,2017
Extinction of Rare Birds,04/11/17,Sushil Kumar Singh,,2017
Anti-Poaching Camps,04/11/17,P.C. Mohan,,2017
Elephant Corridors,04/11/17,Balasubramaniam Senguttuvan,,2017
Suggestions on Climate Change,04/11/17,Harishchandra Deoram ChavanPrataprao Ganpatrao Jadhav,,2017
Impact of Manja,04/11/17,Ponguleti Srinivasa Reddy,,2017
Construction in CRZ Areas,04/11/17,Konda Vishweshwar Reddy,,2017
Delhi Zoo,04/11/17,R.P. Marutharajaa,,2017
Nagar Van Udyan Yojana,04/11/17,George BakerAnil Shirole,,2017
National Green Tribunal,04/11/17,Sunil Baliram GaikwadSudheer GuptaGajanan Chandrakant KirtikarBidyut Baran MahatoM. K. RaghavanVijay Kumar S.R.Kunwar Haribansh Singh,,2017
Activities in Western Ghats Zone,04/11/17,T.G. Venkatesh Babu,,2017
Tree Census,04/11/17,Rajeshbhai Naranbhai Chudasama,,2017
Ban on Diesel Vehicles,04/11/17,Kapil Moreshwar Patil,,2017
Projects under NMHS,04/11/17,Prem Das Rai,,2017
Reserve Land,04/11/17,Ajmal Sirajuddin,,2017
Pollution in Mula-Mutha River,04/11/17,Adhir Ranjan Chowdhury,,2017
Environmental Awareness Campaign,04/11/17,P.K. Biju,,2017
Vilayati Keekar,04/11/17,Gopalakrishnan Chinnaraj,,2017
Action Plan on Air Pollution,04/11/17,Gopalakrishnan ChinnarajNinong EringVincent H. PalaRajesh Ranjan (Pappu Yadav),,2017
Endangered Species,04/11/17,P.R. Senthilnathan,,2017
Testing Protocol for HT Crops,04/11/17,R. Parthipan,,2017
Digital Database of Endangered Tigers,04/11/17,Manoj Kumar Tiwari,,2017
Aravali Policy,04/11/17,K. Ashok Kumar,,2017
GHG Emission by High Rise Buildings,04/11/17,Hari Babu Kambhampati,,2017
Dumping of Waste Material,04/11/17,Parbhubhai Nagarbhai Vasava,,2017
Funds for Pollution Abatement,04/11/17,Bhavana Pundlikrao Gawali PatilArvind Ganpat SawantJanardan Singh SigriwalRekha Arun Verma,,2017
Pollution Due to Gensets,04/11/17,Prem Singh ChandumajraNoor Mausam,,2017
Taming Animals,04/11/17,Joice George,,2017
Hydraulic Load of FETP,04/11/17,Chandrakant Raghunath Patil,,2017
Survey on Fish Species,04/11/17,G. Hari,,2017
Pollution Control Devices for Vehicles,04/11/17,Ninong Ering,,2017
Plantation on Forest Land,04/11/17,S.P. MuddahanumegowdaC.S. Puttaraju,,2017
Protection of Pangolin,04/11/17,Rajeshbhai Naranbhai ChudasamaShobha KarandlajePrathap Simha,,2017
Use of Fossil Fuels,04/11/17,K. Maragatham,,2017
Animal Census,04/11/17,Ashok Shankarrao ChavanSunil Baliram GaikwadSudheer GuptaGajanan Chandrakant KirtikarBidyut Baran MahatoT. RadhakrishnanVijay Kumar S.R.Kunwar Haribansh Singh,,2017
Operation Thunder Bird,3/28/2017,Ashok Shankarrao ChavanSudheer GuptaGajanan Chandrakant KirtikarBidyut Baran MahatoBheemrao Baswanthrao PatilT. RadhakrishnanVijay Kumar S.R.Kunwar Haribansh Singh,,2017
Rare Species,3/28/2017,Banshilal Mahto,,2017
Population of Wild Animals,3/28/2017,Jugal Kishore Sharma,,2017
Review of CRZ Rules,3/28/2017,Kirit Somaiya,,2017
NOC on Pollution,3/28/2017,Kaushalendra Kumar,,2017
Monitoring of Avian Influenza,3/28/2017,Naranbhai Kachhadia,,2017
NGT Directives on Pollution,3/28/2017,Y. S. Avinash Reddy,,2017
Use of Plastic Bags,3/28/2017,Chandra Prakash Joshi,,2017
Waste Processing Plants,3/28/2017,M. Udhayakumar,,2017
Smuggling of Pangolin Scales,3/28/2017,Kamal NathJyotiraditya Madhavrao Scindia,,2017
Mining Projects in Forests,3/28/2017,Santokh Singh Chaudhary,,2017
Conservation of Wildlife in U.P.,3/28/2017,Sakshi Swami Maharaj,,2017
Solid Waste Management,3/28/2017,Kapil Moreshwar PatilNanabhau Falgunrao Patole,,2017
Environmental Pollution,3/28/2017,Gaurav Gogoi,,2017
Arsenic Contamination in Water,3/28/2017,Rajesh Verma,,2017
Olive Ridley Turtle,3/28/2017,R. ParthipanPonguleti Srinivasa Reddy,,2017
Afforestation in Degraded Forest,3/28/2017,Rita Tarai,,2017
Ban on Tree Cutting,3/28/2017,Arvind Ganpat Sawant,,2017
Impact of Communication Towers,3/28/2017,Poonam Mahajan,,2017
Forest Development under PPP Mode,3/28/2017,B.V. Nayak,,2017
Forest Protection,3/28/2017,P.K. Biju,,2017
Emission by Thermal Power Plants,3/28/2017,Ninong EringRaghav Lakhanpal,,2017
Changes in Marine Life,3/28/2017,Bhagwanth Khuba,,2017
Endangered White Tigers,3/28/2017,Ratna De (Nag)Sharad Tripathi,,2017
Quarrying in ESZ,3/28/2017,Maheish Girri,,2017
Permission for Projects on Forest Land,3/28/2017,Rajesh Ranjan (Pappu Yadav),,2017
Disposal of Bio-Medical Waste,3/28/2017,Feroze Varun Gandhi,,2017
Eco-Sensitive Zone,3/28/2017,Hari Narayan Rajbhar,,2017
Environmental Clearance for Projects,3/28/2017,Jay Prakash Narayan Yadav,,2017
Regulating Vehicular Emissions,3/28/2017,Pinaki MisraNoor MausamVincent H. PalaRajesh Ranjan (Pappu Yadav),,2017
Disposal of Toxic Waste,3/28/2017,Heena Vijayakumar GavitDhananjay Bhimrao MahadikVijaysinh Mohite PatilRajeev Shankarrao SatavBharatendra SinghSupriya Sule,,2017
Monitoring Body for Animals,3/28/2017,Anoop Mishra,,2017
Field Trials of GM Crops,3/28/2017,Geetha Kothapalli,,2017
Sale of Tiger Body Parts,3/28/2017,Raju Shetti alias Devappa Anna Shetti,,2017
Wildlife Sanctuaries,3/28/2017,Feroze Varun GandhiRaghav LakhanpalHari Narayan RajbharLakhan Lal Sahu,,2017
Carrying Capacity Study for Mines,3/28/2017,Nagendra KumarRita Tarai,,2017
Air Pollution in Rural Areas,3/28/2017,Virendra Kumar,,2017
Treatment of Wild Animals,3/28/2017,R.P. Marutharajaa,,2017
Vantangia Caste in Forest Preservation,3/28/2017,Sharad Tripathi,,2017
Web Portal on CRZ,3/28/2017,T. RadhakrishnanKunwar Haribansh Singh,,2017
Ban on Polluting Fuels,3/28/2017,Vincent H. Pala,,2017
National Mission on Himalayan Studies,3/28/2017,Gowdar Mallikarjunappa Siddeshwara,,2017
Sick Animals,3/28/2017,Raghav Lakhanpal,,2017
Documentary on Rhino Conservation,3/28/2017,Gopalakrishnan ChinnarajParvesh Sahib Singh,,2017
Construction Waste,3/28/2017,Manoj Kumar Tiwari,,2017
Elephant Population,3/28/2017,P.K. Shreemathi Teacher,,2017
Killing of Peacocks,3/28/2017,Nalin Kumar Kateel,,2017
Fodder Cultivation on Forest Land,3/28/2017,Ponnusamy Venugopal,,2017
National Biodiversity Congress,3/28/2017,C. Mahendran,,2017
Forestry Research,3/21/2017,Ashok Shankarrao ChavanSudheer GuptaGajanan Chandrakant KirtikarBidyut Baran MahatoT. RadhakrishnanVijay Kumar S.R.,,2017
Eco-Sensitive Zone,3/21/2017,Ashok Shankarrao ChavanSudheer GuptaBidyut Baran MahatoT. RadhakrishnanVijay Kumar S.R.Kunwar Haribansh Singh,,2017
Abatement of Air Pollution,3/21/2017,Rahul Ramesh ShewaleSatyapal Singh (Sambhal),,2017
Global Tiger Initiative,3/21/2017,Krishnan Narayansamy Ramachandran,,2017
Protection of Lakes/Ponds,3/21/2017,Banshilal Mahto,,2017
Cutting of Trees,3/21/2017,Ram Prasad Sarmah,,2017
Assistance for Pollution Control,3/21/2017,Gopal chinayya Shetty,,2017
Forest Development Activities,3/21/2017,Kirron Kher,,2017
Allocation for Mitigating Air Pollution,3/21/2017,Vincent H. Pala,,2017
Poaching of Turtles,3/21/2017,Meenakshi LekhiBalka Suman,,2017
Depletion of Natural Resources,3/21/2017,Innocent,,2017
Great Indian Bustard,3/21/2017,Maheish Girri,,2017
Encroachment of Forest Land,3/21/2017,Krupal Balaji Tumane,,2017
Moratorium on Industrial Clusters,3/21/2017,Devusinh Jesingbhai Chauhan,,2017
Rhino Hunting in Kaziranga National Park,3/21/2017,Chintamani MalviyaRavindra Kumar Ray,,2017
Paris Agreement,3/21/2017,A.P. Jithender Reddy,,2017
Wildlife Preservation,3/21/2017,E.T. Mohammad Bashir,,2017
Deforestation,3/21/2017,Harish Dwivedi,,2017
Funds for Pollution Abatement Schemes,3/21/2017,Murali Mohan Maganti,,2017
National Helpline,3/21/2017,Joice George,,2017
Violation of Pollution Laws,3/21/2017,Sher Singh GhubayaChintamani Malviya,,2017
Shortage of IFS Officers,3/21/2017,Gokaraju Ganga Raju,,2017
Norms for Power Plants,3/21/2017,Noor Mausam,,2017
Surface Water Pollution,3/21/2017,Pinaki Misra,,2017
Environmental Damage due to Illegal Mining,3/21/2017,Bhanu Pratap Singh Verma,,2017
Landfills Near Tribal Villages,3/21/2017,Sukender Reddy Gutha,,2017
Pending Projects,3/21/2017,Sadashiv Kisan LokhandeManshankar NinamaRam Prasad SarmahRaju Shetti alias Devappa Anna ShettiBharat SinghDinesh Trivedi,,2017
Special Tiger Protection Force,3/21/2017,Chandra Prakash Joshi,,2017
Pollution due to Fire Crackers,3/21/2017,Kaushal Kishore,,2017
Conservation of Vellayani Lake,3/21/2017,Shashi Tharoor,,2017
Kigali Agreement,3/21/2017,R. DhruvanarayanaBaijayant Jay Panda,,2017
Forests Guards,3/21/2017,Mamtaz Sanghamita,,2017
Forest Assistance Programme,3/21/2017,Nagendra Kumar,,2017
Funds under CAMPA,3/21/2017,Laxmi Narayan Yadav,,2017
Pet Animal Welfare,3/21/2017,Ganesh Singh,,2017
Pine Needles,3/21/2017,Prem Das Rai,,2017
Pollution due to Sugarcane Industries,3/21/2017,Hukum Singh,,2017
Green Tax,3/21/2017,Rayapati Sambasiva Rao,,2017
Illegal Timber Trade,3/21/2017,Ratna De (Nag)Hari Om Pandey,,2017
Cutting and Smuggling of Red Sanders,3/21/2017,Mekapati Rajamohan Reddy,,2017
Pollution due to Steel Plants,3/21/2017,Ashok Mahadeorao Nete,,2017
Green Cover,3/21/2017,Subhash Patel,,2017
Pollution in Damodar River,3/14/2017,Aparupa Poddar,,2017
Decline in Forest Cover,3/14/2017,Abhishek Singh,,2017
Conservation of Bio-Diversity,3/14/2017,Manshankar NinamaRamesh Pokhriyal NishankBharat Singh,,2017
Cleaning of Toxic Water Bodies,3/14/2017,Shashi Tharoor,,2017
River Pollution,3/14/2017,Ramcharan Bohra,,2017
Forty Two Points Advisory,3/14/2017,Dharam Vira GandhiGajendra Singh Shekhawat,,2017
Burning of Waste,3/14/2017,Y. S. Avinash Reddy,,2017
Registration of Pet Dogs,3/14/2017,Kaushal Kishore,,2017
Conservation of Endangered Species,3/14/2017,Chandra Prakash Joshi,,2017
Impact of Air Pollution on Health,3/14/2017,Chandrakant Raghunath PatilRayapati Sambasiva Rao,,2017
Migratory Birds,3/14/2017,Nishikant DubeyGowdar Mallikarjunappa SiddeshwaraManoj Kumar Tiwari,,2017
Conservation of Aquatic Ecosystems,3/14/2017,Anandrao Vithoba AdsulChandu Barne Shrirang,,2017
Vermin Animals,3/14/2017,R. Dhruvanarayana,,2017
Relocation of Monkeys,3/14/2017,R.P. Marutharajaa,,2017
Pollution due to Brick-kiln,3/14/2017,Ravindra Kumar Pandey,,2017
Cleaning of Rivers,3/14/2017,Ramcharan BohraNanabhau Falgunrao PatoleM. K. Raghavan,,2017
Ecologically Sensitive Areas,3/14/2017,Chintaman Navsha Wanaga,,2017
Afforestation in U.P.,3/14/2017,Bhairon Prasad Mishra,,2017
Pending Projects,3/14/2017,Sunil Kumar Singh,,2017
Preservation of Wetlands,3/14/2017,Kanwar Singh Tanwar,,2017
Capacity of Sewage Treatment Plants,3/14/2017,Vasanthi M.,,2017
Border Projects of ITBP,3/14/2017,Rajan Baburao Vichare,,2017
Lowering Soil & Water PH,3/14/2017,S. Rajendran,,2017
Attacks on Tourists by Wild Animals,3/14/2017,B.V. Nayak,,2017
High Level Working Group Report,3/14/2017,Shobha KarandlajePrathap Simha,,2017
Co-Processing of Wastes,3/14/2017,Kirit Premjibhai Solanki,,2017
GM Crops,3/14/2017,Suresh Kodikunnil,,2017
Revival of Rivers,3/14/2017,Ranjanben BhattP.R. SenthilnathanSundar Lal Patwa,,2017
Diversion of Forest Land,3/14/2017,Raghav Lakhanpal,,2017
Treatment of Waste,3/14/2017,Om BirlaChandu Lal Sahu,,2017
Carbon Footprint of Airlines,3/14/2017,K. Maragatham,,2017
Bio-diversity Management Committees,3/14/2017,A.P. Jithender Reddy,,2017
Wildlife Protection,3/14/2017,Sundar Lal Patwa,,2017
Checking of Sewage Treatment Plants,3/14/2017,Savitri Thakur,,2017
Development of Bird Sanctuary,3/14/2017,Bijoya Chakravarty,,2017
CRZ Notification,3/14/2017,M. ChandrakasiPoonamben Hematbhai Maadam,,2017
Ozone Pollution,3/14/2017,Gaurav GogoiJyotiraditya Madhavrao Scindia,,2017
Eco-system of Rivers,3/14/2017,B.N. ChandrappaNalin Kumar KateelVasanthi M.,,2017
Melting of Glaciers,3/14/2017,Ashwini Kumar ChoubeyRattan Lal KatariaHari Narayan Rajbhar,,2017
Plastic Flags,3/14/2017,Sukender Reddy Gutha,,2017
Villages in Forest Areas,3/14/2017,Lakhan Lal Sahu,,2017
Tiger Population,3/14/2017,Ajay Misra (TENI),,2017
Mumbai Metro Phase-III,3/14/2017,Kirit Somaiya,,2017
Industrial Pollution,3/14/2017,Kirti (JHA) AzadR. DhruvanarayanaSanjay Haribhau JadhavRavindra Kumar RaySharad Tripathi,,2017
Deforestation in Assam,3/14/2017,Ramen Deka,,2017
One Horn Rhinoceros,3/14/2017,Rameswar Teli,,2017
Declining Wildlife,3/14/2017,Yogi Adityanath,,2017
Survey of Polluted Cities,3/14/2017,Jayshreeben PatelDinesh TrivediChintaman Navsha Wanaga,,2017
e-Waste Processing Techniques,02/07/17,Ponguleti Srinivasa Reddy,,2017
Wildlife Crimes,02/07/17,Ramcharan Bohra,,2017
Conference on Climate Change,02/07/17,Naranbhai Kachhadia,,2017
Impact of Mercury,02/07/17,Bhartruhari Mahtab,,2017
Waste Management,02/07/17,Shivkumar Chanabasappa Udasi,,2017
Environmental Clearance for Chemical Dumps,02/07/17,Y. S. Avinash Reddy,,2017
Fake Afforestation,02/07/17,Devendra Singh Alias Bhole Singh,,2017
Conservation of Loktak Lake,02/07/17,Balka Suman,,2017
Water Contamination by Urea,02/07/17,Devji Patel,,2017
Pollution Control Measures,02/07/17,Uday Pratap Singh,,2017
Contamination of Water,02/07/17,Rahul Kaswan,,2017
Pollution by Coal Mining,02/07/17,Rekha Arun Verma,,2017
Illegal Occupation of National Parks,02/07/17,Laxman GiluwaLaxmi Narayan Yadav,,2017
GM Crops,02/07/17,Prathap Simha,,2017
Funds for Combating Climate Change,02/07/17,R. Vanaroja,,2017
Afforestation in Tamil Nadu,02/07/17,V.Sathyabama,,2017
Extension of Scheme,02/07/17,Nandi Yellaiah,,2017
Elephant-Train Collisions,02/07/17,Parvesh Sahib Singh,,2017
Tiger Deaths,02/07/17,Gopalakrishnan ChinnarajAsaduddin Owaisi,,2017
Pet Business,02/07/17,A.T.(Nana) Patil,,2017
Prevention of man-animal conflicts,02/07/17,Kamla Devi Patle,,2017
Changing Forest Cover,02/07/17,Bhairon Prasad Mishra,,2017
Environmental Pollution,02/07/17,Ramachandran Mullappally,,2017
Emission Reduction,02/07/17,Shashi Tharoor,,2017
Definition of Forest,02/07/17,Yerram Venkata Subbareddy,,2017
Poisoning and Electrocution of Tigers,02/07/17,Kamal NathJyotiraditya Madhavrao Scindia,,2017
Human-Animal Conflicts,02/07/17,Joice GeorgeP.K. Shreemathi Teacher,,2017
Pollution in Residential Areas,02/07/17,Bodh Singh BhagatRodmal NagarOm Prakash Yadav,,2017
Conversion into Green Areas,02/07/17,Prahlad Singh Patel,,2017
Lake Conservation,02/07/17,Arjunlal Meena,,2017
Mining Activities in Forests,02/07/17,Hariom Singh Rathore,,2017
Eco-Friendly Cremation,02/07/17,Nihal Chand Chauhan,,2017
Entry Fee for Wildlife Sanctuaries and Zoos,02/07/17,Rattan Lal Kataria,,2017
Disposal of Sewage/Garbage,02/07/17,Sunil Kumar Singh,,2017
Ban on Polythene,02/07/17,Jugal Kishore Sharma,,2017
Counting of Wild Animals,02/07/17,Jayshreeben Patel,,2017
Pollution due to Burning of Parali,02/07/17,Hemant Tukaram Godse,,2017
Medicinal Plants,02/07/17,Laxmi Narayan Yadav,,2017
Grants to check Pollution,02/07/17,Sukhbir Singh Jaunpuria,,2017
Indiscriminate use of Plastics,02/07/17,Rama DeviPrataprao Ganpatrao JadhavDushyant Singh,,2017
Extended Producer Responsibility,02/07/17,Arvind Ganpat Sawant,,2017
Afforestation,02/07/17,Kulamani Samal,,2017
Pollution in Paradip Region,02/07/17,Ratna De (Nag)Hari Om Pandey,,2017
Wildlife Regions,02/07/17,Neelam Sonker,,2017
Losses due to Wildfire,02/07/17,Ashok Shankarrao ChavanGajanan Chandrakant KirtikarKunwar Haribansh SinghKirit Somaiya,,2017
Sanjay Gandhi National Park,02/07/17,Balabhadra Majhi,,2017
Budget for Forest Development,02/07/17,Nalin Kumar Kateel,,2017
Air Quality,02/07/17,Subhash PatelRavindra Kumar RayBharati Dhirubhai Shiyal,,2017
Forest Encroachment,02/07/17,Ratna De (Nag)Hari Om Pandey,,2017
Anti-poaching Laws,02/07/17,Ajay Misra (TENI),,2017
Arsenic Contamination in Water,02/07/17,K. Maragatham,,2017
Intended Nationally Determined Contributions,02/07/17,Gaurav Gogoi,,2017
Usage of Plastics,02/07/17,Bhagwanth Khuba,,2017
Use of Diesel,02/07/17,Prem Singh Chandumajra,,2017
Directives from NGT,12/06/16,Yogi AdityanathKirti (JHA) AzadSunil Kumar MondalN. K. PremachandranUday Pratap SinghBalka Suman,,2016
Environmental Protection,12/06/16,Sanjay Shamrao DhotreBhartruhari MahtabSatyapal Singh (Sambhal),,2016
